s_m,x_m,y_m,psi_rad,kappa_radpm,vx_mps,ax_mps2,width
30.6538750,-22.5918770,10.1221517,1.5118139,-0.0000000,5.6766435,-2260.3545023,14.0000000
31.2215394,-23.1585542,10.1556145,1.5118139,0.0000000,5.6766435,-2312.9925486,14.0000000
31.7892037,-23.7252314,10.1890773,1.5118139,0.0000000,5.6766435,-2365.8170412,14.0000000
32.3568681,-24.2919086,10.2225400,1.5118139,-0.0000000,5.6766435,-2418.8160448,14.0000000
32.9245324,-24.8585858,10.2560028,1.5118139,-0.0000000,5.6766435,-2471.9785869,14.0000000
33.4921968,-25.4252630,10.2894656,1.5118139,0.0000000,5.6766435,-2525.2945662,14.0000000
34.0598611,-25.9919403,10.3229284,1.5118139,0.0000000,5.6766435,-2578.7546706,14.0000000
34.6275255,-26.5586175,10.3563912,1.5118139,-0.0000000,5.6766435,-2632.3503044,14.0000000
35.1951898,-27.1252947,10.3898540,1.5118139,-0.0000000,5.6766435,-2686.0735230,14.0000000
35.7628542,-27.6919719,10.4233167,1.5118139,0.0000000,5.6766435,-2739.9169736,14.0000000
36.3305185,-28.2586491,10.4567795,1.5118139,0.0000000,5.6766435,-2793.8738435,14.0000000
36.8981829,-28.8253263,10.4902423,1.5118139,-0.0000000,5.6766435,-2847.9378122,14.0000000
37.4658472,-29.3920035,10.5237051,1.5118139,-0.0000000,5.6766435,-2902.1030088,14.0000000
38.0335116,-29.9308534,10.7022648,1.2508121,2.2735003,5.6766435,-2953.9735792,14.0000000
38.6011759,-30.4002453,11.0215048,0.9735418,2.4116700,5.6766435,-3010.2330365,14.0000000
39.1688403,-30.7632533,11.4579311,0.6938172,2.4324593,5.6766435,-3073.1615515,14.0000000
39.7365046,-30.9985886,11.9745162,0.4274677,2.3189866,5.6766435,-3137.4081538,14.0000000
40.3041690,-31.1044608,12.5322203,0.1876035,2.0930830,5.6766435,-3196.9851897,14.0000000
40.8718333,-31.0937648,13.0997839,-0.0188432,1.8059758,5.6766435,-3247.3133101,14.0000000
41.4394977,-31.0989898,13.6674242,0.0092044,-0.2470769,5.6766435,-3275.3704846,14.0000000
42.0071620,-31.1148742,14.2348663,0.0279857,-0.1654600,5.6766435,-3294.1949840,14.0000000
42.5748264,-31.1381123,14.8020548,0.0409477,-0.1141969,5.6766435,-3315.6489002,14.0000000
43.1424907,-31.1665761,15.3690051,0.0501630,-0.0811884,5.6766435,-3339.0793195,14.0000000
43.7101551,-31.1988627,15.9357505,0.0569070,-0.0594169,5.6766435,-3364.0761796,14.0000000
44.2778194,-31.2340261,16.5023247,0.0619838,-0.0447279,5.6766435,-3390.3726821,14.0000000
44.8454838,-31.2714149,17.0687564,0.0659119,-0.0346082,5.6766435,-3417.7888135,14.0000000
45.4131481,-31.3105717,17.6350687,0.0690337,-0.0275042,5.6766435,-3446.1985417,14.0000000
45.9808125,-31.3511706,18.2012794,0.0715802,-0.0224357,5.6766435,-3475.5102898,14.0000000
46.5484769,-31.3929758,18.7674023,0.0737109,-0.0187722,5.6766435,-3505.6550331,14.0000000
47.1161412,-31.4358155,19.3334478,0.0755384,-0.0161010,5.6766435,-3536.5788779,14.0000000
47.6838056,-31.4795641,19.8994239,0.0771443,-0.0141480,5.6766435,-3568.2383358,14.0000000
48.2514699,-31.5241304,20.4653361,0.0785890,-0.0127290,5.6766435,-3600.5972563,14.0000000
48.8191343,-31.5694494,21.0311886,0.0799192,-0.0117195,5.6766435,-3633.6247996,14.0000000
49.3867986,-31.6154772,21.5969838,0.0811719,-0.0110362,5.6766435,-3667.2940755,14.0000000
49.9544630,-31.6621873,22.1627231,0.0823778,-0.0106245,5.6766435,-3701.5812178,14.0000000
50.5221273,-31.7095684,22.7284067,0.0835640,-0.0104513,5.6766435,-3736.4647485,14.0000000
51.0897917,-31.8924677,23.2657991,0.3280485,-2.1326011,5.6766435,-3762.3964280,14.0000000
51.6574560,-32.1641162,23.7642466,0.4989879,-1.4987133,5.6766435,-3793.5762699,14.0000000
52.2251204,-32.4919831,24.2276537,0.6157511,-1.0263890,5.6766435,-3837.1687311,14.0000000
52.7927847,-32.8558984,24.6633239,0.6958977,-0.7053649,5.6766435,-3887.1849583,14.0000000
53.3604491,-33.2436410,25.0779302,0.7519294,-0.4934010,5.6766435,-3940.4119156,14.0000000
53.9281134,-33.6477035,25.4766486,0.7920551,-0.3534264,5.6766435,-3995.2611225,14.0000000
54.4957778,-34.0633495,25.8632766,0.8215521,-0.2598417,5.6766435,-4050.9551518,14.0000000
55.0634421,-34.4875027,26.2405523,0.8438240,-0.1962069,5.6766435,-4107.1053457,14.0000000
55.6311065,-34.9181081,26.6104465,0.8610949,-0.1521558,5.6766435,-4163.5108267,14.0000000
56.1987708,-35.3537587,26.9743853,0.8748445,-0.1211351,5.6766435,-4220.0638860,14.0000000
56.7664352,-35.7934693,27.3334080,0.8860765,-0.0989555,5.6766435,-4276.7046216,14.0000000
57.3340995,-36.2365388,27.6882774,0.8954861,-0.0829006,5.6766435,-4333.3985364,14.0000000
57.9017639,-36.6824609,28.0395555,0.9035656,-0.0711830,5.6766435,-4390.1250992,14.0000000
58.4694282,-37.1308681,28.3876557,0.9106723,-0.0626114,5.6766435,-4446.8717038,14.0000000
59.0370926,-37.5814939,28.7328791,0.9170720,-0.0563833,5.6766435,-4503.6303720,14.0000000
59.6047569,-38.0341477,29.0754391,0.9229692,-0.0519563,5.6766435,-4560.3958975,14.0000000
60.1724213,-38.4886984,29.4154781,0.9285270,-0.0489661,5.6766435,-4617.1647670,14.0000000
60.7400856,-38.9450633,29.7530783,0.9338815,-0.0471746,5.6766435,-4673.9345163,14.0000000
61.3077500,-39.4032013,30.0882684,0.9391524,-0.0464380,5.6766435,-4730.7033311,14.0000000
61.8754144,-39.9417541,30.2677222,1.2491524,-2.6876754,5.6766435,-4790.5620168,14.0000000
62.4430787,-40.5093800,30.2743320,1.5591524,-2.6876754,5.6766435,-4855.5732389,14.0000000
63.0107431,-41.0519655,30.1074674,1.8691524,-2.6876754,5.6766435,-4921.7459490,14.0000000
63.5784074,-41.5177845,29.7830364,2.1791524,-2.6876754,5.6766435,-4982.8477162,14.0000000
64.1460718,-41.9167444,29.3792124,2.3622533,-1.6041855,5.6766435,-5026.1517809,14.0000000
64.7137361,-42.2731269,28.9373591,2.4628628,-0.8849112,5.6766435,-5049.9007471,14.0000000
65.2814005,-42.6043222,28.4763250,2.5186406,-0.4911679,5.6766435,-5061.6299974,14.0000000
65.8490648,-42.9206816,28.0049869,2.5504622,-0.2803118,5.6766435,-5066.9449256,14.0000000
66.4167292,-43.2281371,27.5277932,2.5692355,-0.1653902,5.6766435,-5068.9834463,14.0000000
66.9843935,-43.5301040,27.0471074,2.5806955,-0.1009639,5.6766435,-5069.4294239,14.0000000
67.5520579,-43.8285857,26.5642497,2.5879295,-0.0637341,5.6766435,-5069.1987197,14.0000000
68.1197222,-44.1247860,26.0799892,2.5926474,-0.0415660,5.6766435,-5068.8034292,14.0000000
68.6873866,-44.4194468,25.5947905,2.5958232,-0.0279800,5.6766435,-5068.5386941,14.0000000
69.2550509,-44.7130374,25.1089435,2.5980277,-0.0194219,5.6766435,-5068.5797472,14.0000000
69.8227153,-45.0058617,24.6226342,2.5996041,-0.0138891,5.6766435,-5069.0335873,14.0000000
70.3903796,-45.2981215,24.1359854,2.6007646,-0.0102241,5.6766435,-5069.9672532,14.0000000
70.9580440,-45.5899535,23.6490800,2.6016432,-0.0077409,5.6766435,-5071.4237166,14.0000000
71.5257083,-45.8814527,23.1619752,2.6023268,-0.0060233,5.6766435,-5073.4310503,14.0000000
72.0933727,-46.1726856,22.6747112,2.6028732,-0.0048134,5.6766435,-5076.0078494,14.0000000
72.6610370,-46.4637002,22.1873168,2.6033212,-0.0039475,5.6766435,-5079.1665127,14.0000000
73.2287014,-46.7545311,21.6998127,2.6036981,-0.0033203,5.6766435,-5082.9152753,14.0000000
73.7963657,-47.0452036,21.2122142,2.6040230,-0.0028625,5.6766435,-5087.2594931,14.0000000
74.3640301,-47.3358761,20.7246157,2.6040230,-0.0000000,5.6766435,-5092.1862531,14.0000000
74.9316944,-47.6265486,20.2370172,2.6040230,0.0000000,5.6766435,-5097.7151637,14.0000000
75.4993588,-47.9172211,19.7494187,2.6040230,0.0000000,5.6766435,-5103.8626134,14.0000000
76.0670231,-48.2078936,19.2618201,2.6040230,-0.0000000,5.6766435,-5110.6263945,14.0000000
76.6346875,-48.4985661,18.7742216,2.6040230,0.0000000,5.6766435,-5118.0040904,14.0000000
77.2023519,-48.7892386,18.2866231,2.6040230,-0.0000000,5.6766435,-5125.9930793,14.0000000
77.7700162,-49.0354103,17.7751133,2.6930452,-0.7832820,5.6766435,-5139.6101950,14.0000000
78.3376806,-49.2396753,17.2454732,2.7735025,-0.7080928,5.6766435,-5153.3692831,14.0000000
78.9053449,-49.4043030,16.7022048,2.8473565,-0.6500887,5.6766435,-5162.3489084,14.0000000
79.4730093,-49.5311272,16.1488889,2.9162770,-0.6067335,5.6766435,-5167.0913715,14.0000000
80.0406736,-49.6215062,15.5884655,2.9817002,-0.5759908,5.6766435,-5168.0411600,14.0000000
80.6083380,-49.6763160,15.0234533,3.0448889,-0.5563441,5.6766435,-5165.5515156,14.0000000
81.1760023,-49.8514691,14.4834865,2.8279238,1.8965774,5.6766435,-5144.2605414,14.0000000
81.7436667,-50.1174828,13.9820091,2.6538750,1.5257019,5.6766435,-5122.4240844,14.0000000
82.3113310,-50.4496064,13.5216433,2.5166257,1.2054226,5.6766435,-5115.7419445,14.0000000
82.8789954,-50.8294681,13.0998046,2.4085066,0.9507126,5.6766435,-5121.3623570,14.0000000
83.4466597,-51.2441505,12.7121432,2.3225297,0.7565549,5.6766435,-5136.4622159,14.0000000
84.0143241,-51.6847321,12.3541898,2.2530866,0.6113263,5.6766435,-5158.7403787,14.0000000
84.5819884,-52.1450455,12.0219935,2.1959212,0.5033737,5.6766435,-5186.4700725,14.0000000
85.1496528,-52.6207832,11.7122896,2.1478723,0.4231653,5.6766435,-5218.3973740,14.0000000
85.7173171,-53.1088943,11.4224786,2.1066000,0.3635199,5.6766435,-5253.6190559,14.0000000
86.2849815,-53.6071856,11.1505438,2.0703589,0.3192275,5.6766435,-5291.4816807,14.0000000
86.8526458,-54.1140586,10.8949609,2.0378258,0.2865772,5.6766435,-5331.5076506,14.0000000
87.4203102,-54.6283340,10.6546203,2.0079749,0.2629580,5.6766435,-5373.3434714,14.0000000
87.9879745,-55.1491339,10.4287658,1.9799862,0.2465590,5.6766435,-5416.7241363,14.0000000
88.5556389,-55.6758007,10.2169524,1.9531783,0.2361583,5.6766435,-5461.4486535,14.0000000
89.1233032,-56.1396522,9.8897145,2.1851905,-2.0258204,5.6766435,-5516.5375472,14.0000000
